NR29 5EU,52.6998830000,1.5894860000
NR29 5HN,52.6861370000,1.5967960000
NR29 5JR,52.6997290000,1.5856540000
NR29 5JS,52.6957890000,1.5812300000
NR29 5JT,52.6948520000,1.5803680000
NR29 5JU,52.6987540000,1.5720860000
NR29 5NT,52.6990140000,1.5406820000
NR29 5NX,52.6997680000,1.5102140000
NR29 4RB,52.6928280000,1.5958410000
NR29 3AL,52.6389500000,1.5929330000
NR29 3AP,52.6888020000,1.5549230000
NR29 3BE,52.6626700000,1.5996730000
NR29 3BG,52.6611860000,1.5863260000
NR29 3BH,52.6743600000,1.5926440000
NR29 3BJ,52.6750250000,1.5903020000
NR29 3BL,52.6732450000,1.5804640000
NR29 3BN,52.6745760000,1.5754090000
NR29 3BP,52.6819300000,1.5710520000
NR29 3BQ,52.6650810000,1.5886790000
NR29 3BS,52.6837910000,1.5671990000
NR29 3BT,52.6850080000,1.5536460000
NR29 3BU,52.6874090000,1.5540050000
NR29 3BW,52.6762820000,1.5608840000
NR29 3BX,52.6928280000,1.5559100000
NR29 3BY,52.6905750000,1.5614410000
NR29 3BZ,52.6867860000,1.5788340000
NR29 3DT,52.6388950000,1.5944360000
NR29 3DX,52.6476160000,1.5957440000
NR29 3ER,52.6364560000,1.5953750000
NR29 3ES,52.6386770000,1.5948030000
NR29 3ET,52.6395930000,1.5969180000
NR29 3EU,52.6397010000,1.5919000000
NR29 3EX,52.6383460000,1.5915300000
NR29 3EY,52.6395660000,1.5886360000
NR29 3EZ,52.6448300000,1.5861610000
NR13 6ER,52.6670440000,1.5115330000
NR13 6EW,52.6616900000,1.5333800000
NR13 6AJ,52.6569170000,1.5408050000
NR13 6AN,52.6507860000,1.5325890000
NR13 6AP,52.6529030000,1.5333580000
NR13 6AR,52.6547970000,1.5380070000
NR13 6AS,52.6549170000,1.5391110000
NR13 6AT,52.6610630000,1.5336110000
NR13 6AU,52.6584650000,1.5392880000
NR13 6AW,52.6516820000,1.5344870000
NR13 6AX,52.6592350000,1.5351790000
NR13 6AY,52.6571280000,1.5430620000
NR13 6AZ,52.6559980000,1.5465580000
NR13 6BA,52.6577420000,1.5445020000
NR13 6BB,52.6575150000,1.5436630000
NR13 6BD,52.6581190000,1.5430170000
NR13 6BE,52.6586990000,1.5434630000
NR13 6BG,52.6593910000,1.5459160000
NR13 6BH,52.6586900000,1.5458740000
NR13 6BJ,52.6593260000,1.5465610000
NR13 6BL,52.6598160000,1.5503140000
NR13 6BN,52.6607130000,1.5483010000
NR13 6BP,52.6603920000,1.5433930000
NR13 6BQ,52.6587760000,1.5451110000
NR13 6BS,52.6604550000,1.5440200000
NR13 6BT,52.6584460000,1.5420000000
NR13 6BU,52.6606010000,1.5319080000
NR13 6BW,52.6626210000,1.5425530000
NR13 6BX,52.6593720000,1.5441240000
NR13 6BZ,52.6628040000,1.5128700000
NR13 6DA,52.6511810000,1.5488300000
NR13 6DB,52.6497330000,1.5193280000
NR13 6DD,52.6553550000,1.5180850000
NR13 6DE,52.6557380000,1.5148700000
NR13 6DF,52.6577370000,1.5214500000
NR13 6DG,52.6599560000,1.5027600000
NR13 6DZ,52.6659180000,1.5067380000
NR13 6EA,52.6681900000,1.5086460000
NR13 6EB,52.6708030000,1.5054870000
NR13 6ED,52.6729980000,1.5081930000
NR13 6EE,52.6680850000,1.5095000000
NR13 6EG,52.6685130000,1.5117300000
NR13 6EH,52.6679320000,1.5125210000
NR13 6EJ,52.6668420000,1.5125960000
NR13 6EL,52.6666020000,1.5134050000
NR13 6EN,52.6597160000,1.5314310000
NR13 6EP,52.6675830000,1.5115520000
NR13 6EQ,52.6687100000,1.5181380000
NR13 3UL,52.6098690000,1.5482920000
NR13 4EH,52.6398090000,1.5109450000
NR13 4EJ,52.6470740000,1.5064710000
NR13 4EL,52.6342250000,1.5127150000
NR13 4EN,52.6315530000,1.5115320000
NR13 4ER,52.6296460000,1.5051710000
NR13 4ES,52.6274880000,1.5012080000
NR13 4ET,52.6261240000,1.5010840000
NR13 4EU,52.6200410000,1.5042480000
NR13 4EY,52.6168860000,1.5035300000
NR13 4EZ,52.6125410000,1.5106760000
NR13 4FA,52.6232750000,1.5016170000
NR13 4HA,52.6060930000,1.5102170000
NR13 4HB,52.6065220000,1.5073050000
NR13 3BF,52.6041940000,1.5736860000
NR13 3BG,52.6391380000,1.5518230000
NR13 3BH,52.6392920000,1.5470090000
NR13 3BJ,52.6389680000,1.5440110000
NR13 3BL,52.6395990000,1.5451710000
NR13 3BN,52.6399130000,1.5430670000
NR13 3BP,52.6380380000,1.5450150000
NR13 3BQ,52.6045120000,1.5741470000
NR13 3BS,52.6374500000,1.5460380000
NR13 3BU,52.6369620000,1.5434200000
NR13 3BW,52.6384820000,1.5470020000
NR13 3BX,52.6379920000,1.5459570000
NR13 3BY,52.6365840000,1.5431150000
NR13 3BZ,52.6347350000,1.5438900000
NR13 3DA,52.6350550000,1.5337740000
NR13 3DD,52.6343340000,1.5347130000
NR13 3DE,52.6359280000,1.5476090000
NR13 3DF,52.6325560000,1.5466560000
NR13 3DG,52.6379850000,1.5476860000
NR13 3DH,52.6333950000,1.5492880000
NR13 3DJ,52.6328380000,1.5537360000
NR13 3DL,52.6326220000,1.5486860000
NR13 3DP,52.6309670000,1.5480410000
NR13 3DQ,52.6359270000,1.5485400000
NR13 3DR,52.6438730000,1.5429880000
NR13 3DS,52.6322680000,1.5499730000
NR13 3DU,52.6381080000,1.5489970000
NR13 3DW,52.6317130000,1.5480800000
NR13 3DX,52.6379660000,1.5483210000
NR13 3DY,52.6385460000,1.5478570000
NR13 3EA,52.6410290000,1.5439700000
NR13 3EB,52.6415120000,1.5440390000
NR13 3ED,52.6424700000,1.5426970000
NR13 3EE,52.6423680000,1.5433990000
NR13 3EG,52.6430760000,1.5440920000
NR13 3EH,52.6417090000,1.5446760000
NR13 3EJ,52.6432860000,1.5460750000
NR13 3EL,52.6437730000,1.5445470000
NR13 3EN,52.6434130000,1.5433500000
NR13 3EP,52.6433370000,1.5422650000
NR13 3EQ,52.6423350000,1.5459840000
NR13 3ER,52.6421970000,1.5412850000
NR13 3ES,52.6458950000,1.5376130000
NR13 3ET,52.6369770000,1.5495120000
NR13 3EU,52.6396010000,1.5508040000
NR13 3EW,52.6431240000,1.5412570000
NR13 3EY,52.6362660000,1.5498390000
NR13 3FB,52.6404190000,1.5442020000
NR13 3GA,52.6397920000,1.5469250000
NR13 3GX,52.6068310000,1.5787860000
NR13 3GY,52.6039250000,1.5712630000
